Run_Number Number_of_Events Sampled_Luminosity Prescale Livetime
15123010 45045 1.63523927721015 1.00000000 0.747225585986099
15123011 22509 0.825602166443419 1.00000000 0.772257865303462
15123013 113504 3.72939989598476 1.00000000 0.74938433808917
15123014 80246 2.73129336997806 1.00000000 0.471112467930466
15123015 101224 3.58076962407183 1.00000000 0.70337634543092
15123016 98375 3.55403216741108 1.00000000 0.793431622415072
15123017 24781 0.901673408740355 1.00000000 0.76329082732705
15123018 106208 3.91957196652159 1.00000000 0.839164375335798
15123019 46042 1.7255831017439 1.00000000 0.73506074684292
15123020 48148 1.81399301151325 1.00000000 0.7090285243053
15123021 58240 2.22018533813521 1.00000000 0.706547452959517
15123022 55119 2.1056879971893 1.00000000 0.715831168831169
15123023 54377 2.08253833974667 1.00000000 0.683188220069604
15123024 45297 1.74405142424123 1.00000000 0.6924393897704
15123025 48571 1.84224543341406 1.00000000 0.735534186416294
15123026 43196 1.6492839081123 1.00000000 0.772667918790806
15123027 47966 1.82888053875117 1.00000000 0.693130256350972
15123028 29781 1.12029699340594 1.00000000 0.568513286499695
15123033 0 0 1.00000000 0
15123034 5785 0.220508564519676 1.00000000 0.893298332303891
15123035 36264 1.37732631207758 1.00000000 0.815915584853871
15123036 40644 1.52632666866162 1.00000000 0.836520056805318
15123037 31436 1.18502646114137 1.00000000 0.811000464372323
15123044 114059 3.92658557759731 1.00000000 0.687524487495555
15123045 106477 3.74656223692534 1.00000000 0.790922934076137
15123046 89672 3.22668662108839 1.00000000 0.729276824864586
15123047 111070 4.05512776156396 1.00000000 0.749394468920569
15123048 78463 2.9132238164477 1.00000000 0.797789594623448
15123049 38996 1.44848545311513 1.00000000 0.792483297337666
15123050 22874 0.864073555931648 1.00000000 0.734264163055689
15123051 40246 1.5178599626249 1.00000000 0.761028647064385
15123052 39908 1.52372641064192 1.00000000 0.718684722322265
15123053 44133 1.67450047874507 1.00000000 0.722087696335079
15123054 44446 1.6917593624297 1.00000000 0.711716760876876
15124001 43728 1.65295360148793 1.00000000 0.668393465670319
15124002 41138 1.56486169243012 1.00000000 0.645555119654767
15124003 43653 1.65124991345952 1.00000000 0.72669163545568
15124004 24911 0.933327220793661 1.00000000 0.714859437751004
15124005 20885 0.789506508641318 1.00000000 0.737516773783459
15124006 42223 1.58954080387849 1.00000000 0.781243071465524
15124007 36791 1.37543771851907 1.00000000 0.772253122048484
15124008 41995 1.5726755747212 1.00000000 0.819300846631033
15124009 3314 0.124584977540703 1.00000000 0.773479375436961
15124010 9183 0.341953281120772 1.00000000 0.806800210859251
15124021 61928 2.26646546000499 1.00000000 1
15124022 50057 1.76751776184506 1.00000000 0.707649462091975
15124023 94583 3.44968674284167 1.00000000 0.707479075194662
15124024 10285 0.382864718613141 1.00000000 0.664580241337033
15124025 95559 3.59847974433617 1.00000000 0.781937785341428
15124026 88392 3.35519753296727 1.00000000 0.80094962803215
15124027 30157 1.14861253230517 1.00000000 0.877549832678597
15124028 7200 0.271620837718978 1.00000000 0.647132841991731
15124029 2181 0.0980347127127067 1.00000000 0.509116131589378
15124031 33926 1.30406797240923 1.00000000 0.712863593405439
15124032 43737 1.70595438173448 1.00000000 0.742713670138771
15124033 31657 1.23072819687022 1.00000000 0.770273229361816
15124034 46385 1.82687507937169 1.00000000 0.671322092770823
15124035 52252 2.05630322385227 1.00000000 0.706060401324235
15124036 2219 0.0885439921358536 1.00000000 0.419153758972422
15124037 25943 1.03419549580487 1.00000000 0.719592255062187
15124039 13039 0.515451560892034 1.00000000 0.754761629920351
15124040 39005 1.53504071511111 1.00000000 0.741010200786429
15124041 53003 2.07573151983075 1.00000000 0.753882915173238
15124042 52329 2.04594670027156 1.00000000 0.782045342459612
15124043 35388 1.37418813920911 1.00000000 0.768218821230869
15124044 6099 0.236968272739667 1.00000000 0.789208074534162
15124049 85271 3.05129072729493 1.00000000 0.605330210440399
15124050 117237 4.30094483147944 1.00000000 0.645035648270399
15124051 54611 2.05675284179474 1.00000000 0.607880900990647
15124052 84905 3.19412671988585 1.00000000 0.653806473468634
15124053 68860 2.61836254680665 1.00000000 0.651878845243729
15124054 79227 3.03093883112903 1.00000000 0.766003732028735
15124055 26163 1.00156733293531 1.00000000 0.83425273428781
15124056 45014 1.73509528995827 1.00000000 0.685143752948876
15124057 42727 1.65956802067661 1.00000000 0.714574797223848
15124058 73998 2.84009327389116 1.00000000 0.626974452740109
15124060 48940 1.89322345722249 1.00000000 0.626362938315843
15124061 42277 1.61967480054186 1.00000000 0.688931981879217
15124062 41806 1.59276843090592 1.00000000 0.719304886441844
15124063 34730 1.31699047312003 1.00000000 0.626160641846209
15125001 41615 1.55922145784654 1.00000000 0.784951712690509
15125002 38482 1.44132600291198 1.00000000 0.787968138911072
15125003 106 0.00401367133155075 1.00000000 0.00911749526922415
15125004 6844 0.25756186856289 1.00000000 0.750081107386179
15125006 0 0 1.00000000 0.078397212543554
15125007 26771 0.998549285652118 1.00000000 0.795312082231663
15125060 118870 4.04311088505222 1.00000000 0.766918069381988
15125061 107563 3.76209405408696 1.00000000 0.790027249157186
15125062 106866 3.83221679319683 1.00000000 0.814908568837842
15125063 0 0 1.00000000 0.139198949441891
15125064 134302 4.90388468397515 1.00000000 0.785566540457159
15125065 59904 2.22656715546251 1.00000000 0.859257559240347
15125066 17080 0.635687547163602 1.00000000 0.706748872429346
15125067 49218 1.84269486464901 1.00000000 0.71199064651626
15125070 73207 2.77501629312924 1.00000000 0.888365103794278
15125071 77879 2.89764936095522 1.00000000 0.88790459577476
15125072 87313 3.12808135042549 1.00000000 0.864238050516534
15125073 79945 2.87881709713896 1.00000000 0.862815144189259
15125074 55806 2.03761422627696 1.00000000 0.887090877298956
15125075 32519 1.17839776968088 1.00000000 0.857998469697369
15126001 0 0 1.00000000 0.107727272727273
15126002 118598 3.90480707189623 1.00000000 0.76660547612276
15126003 35904 1.19011952410265 1.00000000 0.726904622112445
15126004 98047 3.31303427570129 1.00000000 0.695669447755264
15126005 96453 3.34545347440268 1.00000000 0.778336372879715
15126006 91096 3.20960546319436 1.00000000 0.786947131997236
15126007 69026 2.45444032601458 1.00000000 0.801390694650817
15126008 3616 0.127772434100753 1.00000000 0.7786391042205
15126009 47085 1.68715079318731 1.00000000 0.729073116348208
15126010 46492 1.67132825884192 1.00000000 0.718320304050922
15126011 49516 1.79353207782385 1.00000000 0.71161775057823
15126012 48782 1.77077084315482 1.00000000 0.701757919268061
15126013 49825 1.83264363766215 1.00000000 0.723874417050457
15126014 19519 0.705526115119463 1.00000000 0.515314796892574
15126015 48256 1.77213349814237 1.00000000 0.600597052055476
15126016 73595 2.70088660674789 1.00000000 0.726656990807934
15126017 43334 1.58085477714108 1.00000000 0.758480064409984
15126018 35624 1.28863934518684 1.00000000 0.782979471625126
15126019 11178 0.411437659113028 1.00000000 0.776681489716509
15126020 1173 0.0441909376111267 1.00000000 0.667235494880546
15126021 11831 0.43859408170565 1.00000000 0.797667206040992
15126022 30340 1.12044988220428 1.00000000 0.768282183733414
15126023 36175 1.32478185158198 1.00000000 0.801590994704071
15126036 143124 4.91713310954465 1.00000000 0.830257853061461
15126037 137933 4.90423045538754 1.00000000 0.772246296482918
15126038 138974 5.04573627140824 1.00000000 0.843120006309416
15126039 137836 5.09129915234859 1.00000000 0.85921507025221
15126040 5466 0.201604153347289 1.00000000 0.540171953750371
15126041 102 0.00389257567606614 1.00000000 0.0398593200468933
15126042 15000 0.450935853603704 1.00000000 0.858270870286662
15126043 46368 1.70868864911957 1.00000000 0.730239223900342
15126044 63309 2.39425290643206 1.00000000 0.724155285612976
15126045 53301 2.00645552736585 1.00000000 0.725183673469388
15126046 51197 1.9306206550921 1.00000000 0.739990749573613
15126047 51567 1.94388411365387 1.00000000 0.723006603760358
15126048 58596 2.18583213893948 1.00000000 0.745499421126958
15126049 50785 1.90508493232594 1.00000000 0.730887686373841
15126050 40676 1.53153417311658 1.00000000 0.762308139208006
15126051 48901 1.82735644103369 1.00000000 0.792368143887224
15126052 52569 1.94544427292212 1.00000000 0.812478748724924
15126053 32788 1.20256904495122 1.00000000 0.810589020441456
